年	NOUNoblVERB	有	7
7	ABOUT	年	7
就	ADVmarkVERB	有	7
有	VERBacl:relclNOUN	课程	7
介绍	VERBacl:relclNOUN	课程	7
西方	PROPNnmodNOUN	知识	7
图书	NOUNnmodNOUN	知识	7
馆学	NOUNnmodNOUN	知识	7
知识	NOUNobjVERB	介绍	7
7	ABOUT	知识	7
的	PARTmark:relclVERB	介绍	7
课程	NOUNobjVERB	如	7
7	ABOUT	课程	7
。	PUNCTpunctVERB	开设	7
到	ADPcaseNOUN	年	8
1920	NUMnummodNOUN	年	8
年	NOUNoblVERB	创办	8
8	ABOUT	年	8
，	PUNCTpunctVERB	创办	8
美国	PROPNnmodNOUN	学者	8
学者	NOUNnsubjVERB	创办	8
8	ABOUT	学者	8
韦	PROPNapposNOUN	学者	8
棣华	PROPNflat:namePROPN	韦	8
(	PUNCTpunctX	Miss	8
Miss	XapposPROPN	韦	8
Mary	Xflat:foreignX	Miss	8
Elizabeth	Xflat:foreignX	Miss	8
Wood,1861-1931)	XnmodNOUN	女士	8
女士	NOUNapposPROPN	韦	8
与	CCONJccNOUN	生(	8
中国	PROPNnmodNOUN	生(	8
沈祖	PROPNnmodNOUN	生(	8
荣先	PROPNnmodNOUN	生(	8
生(	NOUNconjNOUN	女士	8
1884	NUMnummodNUM	-1977	8
-1977	NUMapposNOUN	生(	8
)	PUNCTpunctNUM	-1977	8
仿照	VERBadvclVERB	创办	8
美国	PROPNnmodNOUN	教育	8
图书	NOUNnmodNOUN	教育	8
馆学	NOUNnmodNOUN	教育	8
教育	NOUNnmodNOUN	模式	8
的	PARTcase:decNOUN	教育	8
模式	NOUNobjVERB	仿照	8
8	ABOUT	模式	8
，	PUNCTpunctVERB	创办	8
在	VERBadvclVERB	创办	8
武汉	PROPNobjVERB	在	8
创办	VERB_PREDICATE_OF	8	8
了	PARTcase:aspectVERB	创办	8
我国	NOUNnmodNOUN	学校	8
第一	NUMnummodNOUN	所	8
所	NOUNclfNOUN	学校	8
图书	NOUNcompoundPART	馆	8
馆	PARTnmodNOUN	学校	8
学校	NOUNobjVERB	创办	8
8	ABOUT	学校	8
，	PUNCTpunctNOUN	学校	8
武昌	PROPNnmodNOUN	学校	8
文华	PROPNnmodNOUN	学校	8
图书	NOUNnmodNOUN	学校	8
馆学	NOUNnmodNOUN	学校	8
专科	NOUNnmodNOUN	学校	8
学校	NOUNconjNOUN	学校	8
。	PUNCTpunctVERB	创办	8
在	ADPcaseNOUN	年	9
此后	NOUNnmodNOUN	年	9
的	PARTcase:decNOUN	此后	9
60	NUMnummodNOUN	年	9
年	NOUNoblVERB	就是	9
9	ABOUT	年	9
间	ADPaclNOUN	年	9
，	PUNCTpunctVERB	就是	9
由于	ADPcaseNOUN	战乱	9
战乱	NOUNoblVERB	没有	9
9	ABOUT	战乱	9
等	NOUNaclNOUN	战乱	9
原因	NOUNapposNOUN	战乱	9
，	PUNCTpunctVERB	就是	9
图书	NOUNnmodNOUN	教育	9
馆学	NOUNnmodNOUN	教育	9
教育	NOUNnsubjVERB	就是	9
9	ABOUT	教育	9
没有	VERBadvclVERB	就是	9
太大	ADJamodNOUN	发展	9
的	PARTmark:relclADJ	太大	9
发展	NOUNobjVERB	没有	9
9	ABOUT	发展	9
，	PUNCTpunctVERB	就是	9
基本	NOUNadvmodVERB	就是	9
上	ADPaclNOUN	基本	9
就是	VERB_PREDICATE_OF	9	9
由	VERBxcompVERB	就是	9
两	NUMnummodNOUN	家	9
家	NOUNclfNOUN	机构	9
教育	NOUNnmodNOUN	机构	9
机构	NOUNnsubjVERB	支撑	9
9	ABOUT	机构	9
支撑	VERBccompVERB	由	9
着	PARTcase:aspectVERB	支撑	9
全国	NOUNnmodNOUN	教育	9
图书	NOUNcompoundPART	馆	9
馆	PARTnmodNOUN	教育	9
教育	NOUNnmodNOUN	局面	9
的	PARTcase:decNOUN	教育	9
局面	NOUNobjVERB	支撑	9
9	ABOUT	局面	9
，	PUNCTpunctVERB	就是	9
他	PRONnsubjNOUN	学系	9
是	AUXcopNOUN	学系	9
北京	PROPNnmodNOUN	学系	9
大学	NOUNnmodNOUN	学系	9
图书	NOUNcompoundPART	馆	9
馆	PARTnmodNOUN	学系	9
学系	NOUNparataxisVERB	就是	9
与	CCONJccNOUN	学系	9
武汉	PROPNnmodNOUN	学系	9
大学	NOUNnmodNOUN	学系	9
图书	NOUNcompoundPART	馆	9
馆	PARTnmodNOUN	学系	9
学系	NOUNconjNOUN	学系	9
。	PUNCTpunctVERB	就是	9
自上	DETdetNOUN	个	10
个	NOUNclfNOUN	年代	10
世纪	NOUNnmodNOUN	年代	10
80	NUMnummodNOUN	年代	10
年代	NOUNnmodNOUN	年	10
以来	ADPaclNOUN	年代	10
的	PARTcase:decNOUN	年代	10
20余	NUMnummodNOUN	年	10
年	NOUNnmod:tmodVERB	得到	10
间	ADPaclNOUN	年	10
，	PUNCTpunctVERB	得到	10
中国	PROPNnmodNOUN	教育	10
的	PARTcase:decPROPN	中国	10
图 书	NOUNnmodNOUN	教育	10
馆学	NOUNnmodNOUN	教育	10
教育	NOUNnsubjVERB	得到	10
10	ABOUT	教育	10
得到	VERB_PREDICATE_OF	10	10
了	PARTcase:aspectVERB	得到	10
较快	ADJamodNOUN	发展	10
的	PARTmark:relclADJ	较快	10
